country,designation,points,price,province,region_1,region_2,variety,winery
US,Barrel Select,91.0,60.0,California,Rutherford,Napa,Cabernet Sauvignon,Provenance Vineyards
US,District Collection,91.0,85.0,California,St. Helena,Napa,Cabernet Sauvignon,Raymond
US,,91.0,45.0,California,Sonoma Coast,Sonoma,Pinot Noir,Red Car
Italy,Bussia Riserva,91.0,,Piedmont,Barolo,,Nebbiolo,Silvano Bolmida
US,,91.0,19.0,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Trinity Vineyards
Portugal,Premium,91.0,15.0,Alentejo,,,Portuguese Red,Adega Cooperativa de Borba
US,Premier Cuvée,91.0,54.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Archery Summit
France,Le Nombre d'Or Brut Nature,91.0,85.0,Champagne,Champagne,,Chardonnay,Aubry
US,Juliana Vineyard,91.0,38.0,California,Napa Valley,Napa,Sauvignon Blanc,B Cellars
US,,91.0,28.0,California,Napa Valley,Napa,Cabernet Sauvignon,B Side
Italy,Boscato,91.0,75.0,Piedmont,Barolo,,Nebbiolo,Bel Colle
US,Aeolian,91.0,42.0,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Bethel Heights
Israel,Reserve,91.0,25.0,Upper Galilee,,,Cabernet Sauvignon,Binyamina
Italy,Palliano Riserva,91.0,,Piedmont,Roero,,Nebbiolo,Ceste
Italy,del Comune di Serralunga d'Alba,91.0,59.0,Piedmont,Barolo,,Nebbiolo,Cascina Cucco
Italy,Bricco Luciani,91.0,85.0,Piedmont,Barolo,,Nebbiolo,Cascina del Monastero
Italy,Bricco Gattera,91.0,80.0,Piedmont,Barolo,,Nebbiolo,Cordero di Montezemolo
France,Montmains Premier Cru,91.0,45.0,Burgundy,Chablis,,Chardonnay,Domaine Gérard Duplessis
US,,91.0,22.0,California,Napa Valley,Napa,Cabernet Sauvignon,Eagle Glen
US,Bacigalupi Vineyard,91.0,65.0,California,Russian River Valley,Sonoma,Pinot Noir,Eleven Eleven
US,Magnificat,91.0,50.0,California,Napa Valley,Napa,Meritage,Franciscan
US,,86.0,10.0,California,California,California Other,Cabernet Sauvignon,Belle Ambiance
Portugal,Marquês de Marialva Rosé Bruto,86.0,12.0,Beira Atlantico,,,Baga,Adega de Cantanhede
Italy,Nature,86.0,22.0,Veneto,Prosecco,,Glera,De Stefani
US,Small Lot Blend,86.0,13.0,California,Mendocino County,Mendocino/Lake Counties,Chardonnay,Parducci
Portugal,Muros de Vinha,86.0,10.0,Douro,,,Portuguese Red,Quinta do Portal
France,Château Beauvillain-Monpezat,86.0,14.0,Southwest France,Cahors,,Malbec-Merlot,Rigal
US,,86.0,18.0,California,California,California Other,Chardonnay,The Naked Grape
US,,86.0,36.0,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Tin Barn
France,Pigmentum,86.0,15.0,Southwest France,Buzet,,Merlot-Malbec,Georges Vigouroux
France,Pigmentum,86.0,10.0,Southwest France,Côtes de Gascogne,,Ugni Blanc-Colombard,Georges Vigouroux
US,,86.0,24.0,California,South Coast,South Coast,Viognier,Hawk Watch Winery
US,Stephanie,86.0,50.0,California,Napa Valley,Napa,Cabernet Sauvignon,Hestan
Italy,,86.0,45.0,Tuscany,Brunello di Montalcino,,Sangiovese,Il Grappolo
US,Bella's Blend,86.0,48.0,California,Knights Valley,Sonoma,Cabernet Sauvignon-Cabernet Franc,Ehret
US,Tears of Dew Late Harvest,86.0,20.0,California,Paso Robles,Central Coast,Moscato,EOS
US,Tudor Hills Vineyard,86.0,17.0,Washington,Yakima Valley,Columbia Valley,Pinot Grigio,Martinez & Martinez
US,,86.0,12.0,California,Lodi,Central Valley,Cabernet Franc,Ironstone
US,,86.0,10.0,California,California,California Other,Chardonnay,Leaping Horse
US,,86.0,13.0,California,California,California Other,White Blend,Kitchen Sink
US,Homestead Block,86.0,45.0,California,Napa Valley,Napa,Chardonnay,Kuleto Estate
Portugal,Companhia das Lezírias Herdade de Catapereiro Single Vineyard,86.0,12.0,Tejo,,,Portuguese Red,Wines & Winemakers
Argentina,Terroir Único Pinot Noir,86.0,12.0,Mendoza Province,Tupungato,,Rosé,Zorzal
US,Limited Release Cold Springs Vineyard,86.0,125.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Charles Krug
US,Castle Hill Vineyard,86.0,25.0,New York,Hudson River Region,New York Other,Riesling,Millbrook
South Africa,Circumstance,86.0,20.0,Stellenbosch,,,Sauvignon Blanc,Waterkloof
Argentina,Reserva,86.0,15.0,Mendoza Province,Valle de Uco,,Malbec,Viñalba
Spain,Dulce Tinto,86.0,,Levante,Jumilla,,Monastrell,Casa de la Ermita
France,,86.0,20.0,Southwest France,Gaillac,,Rosé,Château Clément Termes
France,Il est des nôôôtres!,86.0,15.0,Southwest France,,,Gamay,Château Coutinel
Portugal,Convento da Vila,86.0,7.0,Alentejano,,,Portuguese Red,Adega Cooperativa de Borba
US,The Flyer,91.0,59.0,California,Russian River Valley,Sonoma,Pinot Noir,MacPhail
US,Charles Vineyard Clone 05,91.0,49.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Foursight
US,Solomon Hills Vineyard Rosé,91.0,42.0,California,Santa Maria Valley,Central Coast,Sparkling Blend,Goat Bubbles
US,Paris Tasting Commemorative,91.0,93.0,California,Napa Valley,Napa,Chardonnay,Grgich Hills
US,Methode a l'Ancienne,91.0,32.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Navarro
US,,91.0,20.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Navarro
US,Grand Wren,90.0,100.0,California,Amador County,Sierra Foothills,Zinfandel,Renwood
US,Central Park West Vineyard,90.0,50.0,California,St. Helena,Napa,Cabernet Sauvignon,Trinchero
Spain,Arnegui Reserva,90.0,22.0,Northern Spain,Rioja,,Tempranillo,Pagos del Rey
Italy,Chianta Bianco,90.0,45.0,Sicily & Sardinia,Etna,,White Blend,Biondi
Italy,,90.0,18.0,Southern Italy,Greco di Tufo,,Greco,Cantine di Marzo
US,,90.0,45.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Alexander-Smith
US,Cooper Ranch,90.0,26.0,California,Amador County,Sierra Foothills,Barbera,Andis
US,,90.0,16.0,California,Sonoma County,Sonoma,Chardonnay,Benziger
US,Longwood,90.0,30.0,California,Napa Valley,Napa,Cabernet Sauvignon,Beaucanon
US,Estate,90.0,42.0,California,Adelaida District,Central Coast,Grenache,Brecon Estate
US,Mustang Springs,90.0,38.0,California,Adelaida District,Central Coast,Zinfandel,Peachy Canyon
US,SMC,90.0,48.0,California,California,California Other,Rhône-style Red Blend,Three
Spain,Crianza,90.0,17.0,Northern Spain,Rioja,,Tempranillo,Valdelacierva
France,Le,90.0,18.0,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,,Rosé,Château de Lancyre
France,,90.0,15.0,Bordeaux,Bordeaux Rosé,,Rosé,Château Suau
US,Rte Blanc,90.0,28.0,California,Napa Valley,Napa,Sauvignon Blanc,Clif Family
US,Hook Vineyard,90.0,25.0,California,Santa Lucia Highlands,Central Coast,Grenache,Santa Cruz Mountain Vineyard
US,,90.0,26.0,Oregon,Applegate Valley,Southern Oregon,Chardonnay,Schmidt
US,Jespersen Ranch,90.0,24.0,California,Edna Valley,Central Coast,Albariño,Stephen Ross
US,,90.0,55.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Goldeneye
US,Estate Grown,90.0,36.0,California,Napa Valley,Napa,Zinfandel,Grgich Hills
Spain,,90.0,17.0,Galicia,Rías Baixas,,Albariño,Mar de Viñas
US,,90.0,40.0,California,Sta. Rita Hills,Central Coast,Syrah,Kessler-Haak
US,,90.0,28.0,California,Ballard Canyon,Central Coast,Malvasia Bianca,Larner
US,,89.0,50.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Bomb
Greece,Kapnias,89.0,24.0,Atalanti Valley,,,White Blend,Hatzimichalis
Spain,Brut Reserva,89.0,17.0,Catalonia,Cava,,Sparkling Blend,Bohigas
Greece,,89.0,21.0,Santorini,,,Assyrtiko,Boutari
Greece,Axia Malagouzia,89.0,18.0,Florina,,,Malagouzia,Alpha Estate
Chile,Ecos de Rulo Single Vineyard El Chequén Estate,89.0,20.0,Marchigue,,,Carmenère,Viña Bisquertt
France,,89.0,20.0,Southwest France,Cahors,,Bordeaux-style Red Blend,Chateau Quattre
US,,89.0,24.0,Oregon,Rogue Valley,Southern Oregon,Sangiovese,Ledger David
Spain,Viña Real Gran Reserva,89.0,44.0,Northern Spain,Rioja,,Tempranillo,CVNE
Chile,Fina Reserva Ensamblaje Malbec-Cabernet Sauvignon-Syrah,89.0,19.0,Colchagua Valley,,,Red Blend,Estampa
US,Range 30 West,89.0,42.0,California,Happy Canyon of Santa Barbara,Central Coast,Bordeaux-style Red Blend,Foxen 7200
US,,89.0,35.0,Oregon,Oregon,Oregon Other,Pinot Noir,Irvine Family Vineyards
Spain,Gaudium,89.0,44.0,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Cáceres
US,,89.0,16.0,California,Dunnigan Hills,Central Valley,Syrah,Matchbook
US,Mill Road Vineyard,89.0,23.0,California,Paso Robles,Central Coast,Viognier,Eberle
US,Freedom Hill Vineyard,89.0,36.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Silvan Ridge
Italy,Le Redini,89.0,25.0,Tuscany,Toscana,,Red Blend,Tenuta degli Dei
Italy,Il Guardiano,89.0,22.0,Tuscany,Toscana,,Red Blend,Poggio Mandorlo
Portugal,,89.0,20.0,Douro,,,Touriga Nacional,Quinta das Carvalhas
US,Del Arroyo Vineyard,89.0,25.0,California,Livermore Valley,Central Coast,Chardonnay,Occasio
US,,89.0,42.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Sanford
Chile,Family Collection,89.0,30.0,Curicó Valley,,,Cabernet Sauvignon-Cabernet Franc,Santa Alba
Greece,,89.0,17.0,Nemea,,,Agiorgitiko,Boutari
US,Charles Vineyard Clone O5,89.0,49.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Foursight
France,Héritages Elevé en Foudres de Chêne,89.0,16.0,Rhône Valley,Côtes du Rhône,,Rhône-style Red Blend,Ogier
Spain,Gran Bajoz,89.0,30.0,Northern Spain,Toro,,Tinta de Toro,Pagos del Rey
Italy,Palazzo Altesi,89.0,40.0,Tuscany,Toscana,,Sangiovese,Altesino
Italy,Il Borgo,89.0,57.0,Tuscany,Toscana,,Red Blend,Cabreo
US,Lot 525,89.0,29.0,California,Napa Valley,Napa,Cabernet Sauvignon,Cameron Hughes
Chile,Perla Negra,89.0,61.0,Maule Valley,,,Red Blend,Casa Donoso
US,,88.0,25.0,California,Sonoma Coast,Sonoma,Chardonnay,Rodney Strong
US,Estate Reserve,88.0,25.0,California,Paso Robles,Central Coast,Syrah,San Simeon
US,Sonatera Vineyard,88.0,49.0,California,Sonoma Coast,Sonoma,Pinot Noir,Siduri
Argentina,Trinità Grand Reserve,88.0,26.0,Mendoza Province,Luján de Cuyo,,Bordeaux-style Red Blend,Piattelli
US,Entwined,88.0,34.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Pondera
US,French Camp Vineyard,88.0,38.0,California,Paso Robles,Central Coast,Zinfandel,Tobin James
US,French Camp Vineyard,88.0,38.0,California,Paso Robles,Central Coast,Zinfandel,Tobin James
Spain,Sobre Lías,88.0,25.0,Northern Spain,Valdeorras,,Godello,Valdesil
Spain,Negre,87.0,22.0,Catalonia,Montsant,,Red Blend,Jaspi
Argentina,Reserve,87.0,15.0,Mendoza Province,Tupungato,,Malbec,Tupun
France,,87.0,20.0,Bordeaux,Graves,,Bordeaux-style Red Blend,Château Beauregard Lagupeau
France,,87.0,25.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château du Taillan
France,,87.0,20.0,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château la Haye
France,,87.0,20.0,Bordeaux,Fronsac,,Bordeaux-style Red Blend,Château Lalande Mausse
France,,87.0,25.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Magnol
US,,87.0,10.0,California,California,California Other,Chardonnay,Grand Pacific
US,Rosé of,87.0,18.0,Washington,Columbia Valley (WA),Columbia Valley,Malbec,Hamilton
US,Ingle Vineyard Unoaked,87.0,18.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Heron Hill
US,Semi-Dry,87.0,14.0,New York,Finger Lakes,Finger Lakes,Riesling,Heron Hill
US,Semi-Dry,87.0,14.0,New York,Finger Lakes,Finger Lakes,Riesling,Fox Run
US,Ice Wine,87.0,40.0,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Glenora
France,,87.0,18.0,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château Roc Taillade
France,,87.0,20.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Sénéjac
US,,87.0,10.0,Washington,Columbia Valley (WA),Columbia Valley,Gewürztraminer,Chateau Ste. Michelle
US,,87.0,11.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Castle Rock
US,,87.0,36.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Dussek Family Cellars
US,,87.0,20.0,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Serenity
US,Weinbau,87.0,32.0,Washington,Wahluke Slope,Columbia Valley,Grenache,Sol Stone
Spain,Yá Cuvée 23 Brut Rosé,87.0,18.0,Catalonia,Cava,,Sparkling Blend,Sumarroca
Portugal,Reserva,93.0,55.0,Douro,,,Portuguese Red,Poças
Italy,Nervo,93.0,49.0,Piedmont,Barbaresco,,Nebbiolo,Rizzi
US,Rocky Ridge Vineyard,93.0,50.0,California,Rockpile,Sonoma,Zinfandel,Robert Biale
Italy,Fausoni,93.0,58.0,Piedmont,Barbaresco,,Nebbiolo,Sottimano
France,Rosacker Grand Cru,93.0,39.0,Alsace,Alsace,,Riesling,Domaine Jean-Luc Mader
France,Clos Häuserer Wintzenheim,93.0,65.0,Alsace,Alsace,,Riesling,Domaine Zind-Humbrecht
Morocco,Domaine Excelcio,93.0,35.0,Guerrouane,,,Syrah-Grenache,Bernard Magrez
Italy,,93.0,80.0,Piedmont,Barolo,,Nebbiolo,Borgogno
France,Pfingstberg Paradis Grand Cru,93.0,42.0,Alsace,Alsace,,Riesling,Domaine François Schmitt
France,Altenberg de Bergheim Grand Cru Vieilles Vignes,93.0,61.0,Alsace,Alsace,,Riesling,Gustave Lorentz
US,Collaboration Series VI Ciel du Cheval Vineyard,93.0,58.0,Washington,Red Mountain,Columbia Valley,G-S-M,Force Majeure
US,Hastings Ranch Vineyard,93.0,38.0,California,Paso Robles,Central Coast,Mourvèdre,Anglim
France,Heissenberg,93.0,48.0,Alsace,Alsace,,Riesling,Domaine Ostertag
US,Stagecoach Vineyards The Biale Block,93.0,50.0,California,Napa Valley,Napa,Zinfandel,Robert Biale
Italy,Pajorè,93.0,58.0,Piedmont,Barbaresco,,Nebbiolo,Sottimano
France,,93.0,120.0,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château Raymond-Lafon
US,Estate,93.0,50.0,California,Fort Ross-Seaview,Sonoma,Syrah,Red Car
US,Collaboration Series V Ciel du Cheval Vineyard,93.0,80.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Force Majeure
US,White Hawk Vineyard,93.0,40.0,California,Santa Barbara County,Central Coast,Syrah,Mulvane Wine Co.
Portugal,Quinta dos Quatro Ventos Reserva,93.0,41.0,Douro,,,Portuguese Red,Caves Aliança
US,Double Canyon Vineyard,93.0,48.0,Washington,Horse Heaven Hills,Columbia Valley,Cabernet Sauvignon,Double Canyon
US,Red Rock Terrace,93.0,200.0,California,Napa Valley,Napa,Cabernet Sauvignon,Diamond Creek
US,Ciel du Cheval Vineyard,93.0,39.0,Washington,Red Mountain,Columbia Valley,Petit Verdot,Côtes de Ciel
US,Kingpin,93.0,62.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Sparkman
Italy,,93.0,43.0,Piedmont,Barbaresco,,Nebbiolo,Punset
France,Domaine Saint-Rémy Schlosberg Grand Cru,92.0,35.0,Alsace,Alsace,,Riesling,Domaine Ehrhart
France,Pfersigberg Grand Cru,92.0,48.0,Alsace,Alsace,,Riesling,Domaine Zinck
France,Calcaire,92.0,55.0,Alsace,Alsace,,Riesling,Domaine Zind-Humbrecht
Portugal,Dona Maria Reserva,92.0,40.0,Alentejano,,,Portuguese Red,Dona Maria-Júlio Bastos
Italy,Coste Rubin,92.0,69.0,Piedmont,Barbaresco,,Nebbiolo,Fontanafredda
France,,88.0,16.0,Bordeaux,Blaye Côtes de Bordeaux,,Bordeaux-style Red Blend,Château Chantemerle
France,,88.0,16.0,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Chaubinet
France,,88.0,,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Ferran
France,,88.0,15.0,Bordeaux,Côtes de Bourg,,Bordeaux-style Red Blend,Château Fongalan
France,,88.0,13.0,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Mezain
US,,88.0,28.0,California,Carneros,Napa-Sonoma,Chardonnay,Clos du Val
US,Estate,88.0,36.0,Oregon,McMinnville,Willamette Valley,Pinot Noir,Coeur de Terre
Romania,La Umbra,88.0,9.0,Colinele Dobrogei,,,Rosé,Cramele Halewood
US,Limited Selection,88.0,24.0,California,Central Coast,Central Coast,Chardonnay,Daniel Gehrs
US,Cuvée Luke Saralee's Vineyard,88.0,30.0,California,Russian River Valley,Sonoma,Rhône-style White Blend,Davis Family
US,,88.0,25.0,California,Sonoma County,Sonoma,Merlot,Decoy
Italy,,88.0,34.0,Piedmont,Barolo,,Nebbiolo,Reversanti
US,Wits' End,88.0,60.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Roco
US,Toyon Farm,88.0,54.0,California,Carneros,Napa-Sonoma,Pinot Noir,Saintsbury
US,Early,88.0,15.0,Oregon,Willamette Valley,Willamette Valley,Muscat,Silvan Ridge
Italy,Bussia,88.0,56.0,Piedmont,Barolo,,Nebbiolo,Silvano Bolmida
US,Estate,88.0,20.0,California,Napa Valley,Napa,Sauvignon Blanc,St. Supéry
US,Guidotti Vineyard,88.0,61.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Testarossa
Italy,,88.0,46.0,Piedmont,Barolo,,Nebbiolo,Trediberri
Spain,Prestigio,88.0,30.0,Northern Spain,Cigales,,Tempranillo,Val de Los Frailes
Spain,Crianza,88.0,17.0,Central Spain,La Mancha,,Tempranillo Blend,Yuntero
France,Noctambule,88.0,,Loire Valley,Crémant de Loire,,Chenin Blanc-Chardonnay,Musset-Roullier
US,Querida,88.0,40.0,California,Paso Robles,Central Coast,Cabernet Sauvignon-Merlot,Oso Libre
US,Primoroso,88.0,39.0,California,Paso Robles,Central Coast,Red Blend,Oso Libre
Italy,del Comune di Serralunga d'Alba,88.0,49.0,Piedmont,Barolo,,Nebbiolo,Palladino
France,Domaine de Saint-Pierre,88.0,23.0,Loire Valley,Sancerre,,Sauvignon Blanc,Pierre Prieur et Fils
US,,88.0,16.0,California,Monterey County,Central Coast,Pinot Grigio,Bargetto
US,Anna's Estate Vineyard,88.0,32.0,California,Paso Robles,Central Coast,Mourvèdre,Adelaida
US,,88.0,18.0,California,Santa Barbara County,Central Coast,Chardonnay,Alma Rosa
Argentina,Single Vineyard Reserva,88.0,15.0,Mendoza Province,Agrelo,,Cabernet Sauvignon,Lamadrid
France,Pertuisots Premier Cru,92.0,92.0,Burgundy,Beaune,,Pinot Noir,Domaine de Bellene
France,Clos du Cailleret Premier Cru,92.0,94.0,Burgundy,Chassagne-Montrachet,,Chardonnay,Domaine Vincent Girardin
US,Haynes Vineyard,92.0,58.0,California,Coombsville,Napa,Chardonnay,Failla
US,Suzuri Series Shake Ridge Ranch,92.0,50.0,California,Amador County,Sierra Foothills,Rhône-style Red Blend,Gallica
US,Vintage Brut,92.0,48.0,California,Russian River Valley,Sonoma,Sparkling Blend,J Vineyards & Winery
US,,92.0,32.0,California,Sonoma Coast,Sonoma,Pinot Noir,Les Voleurs
Italy,Sirmian,92.0,27.0,Northeastern Italy,Alto Adige,,Pinot Bianco,Nals Margreid
Portugal,Portal do Fidalgo,92.0,35.0,Vinho Verde,,,Alvarinho,Provam
Portugal,Mirabilis Grande Reserva,92.0,95.0,Douro,,,Portuguese White,Quinta Nova de Nossa Senhora do Carmo
US,Solomon Hills Vineyard,92.0,43.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Ryan Cochrane
Italy,Monte Carbonare,92.0,33.0,Veneto,Soave Classico,,Garganega,Suavia
